Артикул;Назва товару;Ціна (грн)
13-80-68;Блок живлення LEBRON L-PS LONG 12V 12.5A 150W;624
13-80-84;Блок живлення LEBRON L-PS SLIM 12V 4A 48W;258
13-80-85;Блок живлення LEBRON L-PS SLIM 12V 5A 60W;300
13-83-40;Контролер LEBRON L-RGB-C DC 12V 2А x 3 канала (кнопковий пульт);69
13-83-49;Контролер LEBRON L-RGB-C DC 12/24V 6А x 3 канала (білий сенсорний пульт);375
15-11-10;Лампа настільна з кліпсою LEBRON L-TL-Clip E27 40W біла;177
15-11-30;Лампа настільна LEBRON L-TL E27 40W біла;198
15-11-31;Лампа настільна LEBRON L-TL E27 40W чорна;198
15-11-32;Лампа настільна LEBRON L-TL E27 40W червона;198
15-11-75;Лампа настільна телескопічна LEBRON L-TL-Tel E27 40W струбцина біла;432
15-11-76;Лампа настільна телескопічна LEBRON L-TL-Tel E27 40W струбцина чорна;432
15-11-78;Лампа настільна телескопічна LEBRON L-TL-Tel-LONG E27 40W струбцина біла;456
15-11-79;Лампа настільна телескопічна LEBRON L-TL-Tel-LONG E27 40W струбцина чорна;456
15-11-80;Лампа настільна телескопічна LEBRON L-TL-Tel E27 40W біла;441
15-11-81;Лампа настільна телескопічна LEBRON L-TL-Tel E27 40W чорна;441
15-11-82;Лампа настільна телескопічна LEBRON L-TL-Tel E27 40W синя;441
15-11-83;Лампа настільна телескопічна LEBRON L-TL-Tel E27 40W бірюзова;441
15-11-88;Лампа настільна телескопічна LEBRON L-TL-Tel-LONG E27 40W біла;561
15-11-89;Лампа настільна телескопічна LEBRON L-TL-Tel-LONG E27 40W чорна;561
15-12-20;LED Нічник в розетку "Совеня" з вимикачем LEBRON L-W004 1W рожевий;65.1
15-12-24;LED Нічник в розетку "Курча" з вимикачем LEBRON L-W032 1W жовтий;70.2
15-12-30;LED Нічник в розетку "Совеня в окулярах" з вимикачем LEBRON L-W090 1W жовтий;63.9
15-13-02;LED світильник USB LEBRON L-TL-L-02 4W 4100K;116.1
15-13-07-2;LED лампа настільна LEBRON L-TL-L-6Lead-acid-Wh 6W 4100K Lead-acid біла з шнуром живлення;204
15-13-08-2;LED лампа настільна LEBRON L-TL-L-6Lead-acid-Bl 6W 4100K Lead-acid чорна з шнуром живлення;204
15-13-09-1;LED лампа настільна LEBRON L-TL-L-09 3W 3000-6500K Li-ion 1200mAh шнур USB;300
15-13-10;LED лампа настільна LEBRON L-TL-L 8W 4100K 3 рівня по-сті нічник біла з блоком жи-ня;498
15-13-11;LED лампа настільна LEBRON L-TL-L 8W 4100K 3 рівня по-сті нічник чорна з блоком жи-ня;498
15-13-20;LED лампа настільна LEBRON L-TL-L 10W 4100K 3 рівня по-сті біла з блоком жи-ня;507
